Time resolution is 1 ps
[20000 ns] after reset state ---> LOCKED (expected LOCKED)
[25000 ns] digit_clean state ----> xxxx
[1086000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1096000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1106000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1116000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1126000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1136000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1146000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1156000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1166000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1176000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1186000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1196000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1206000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1216000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1226000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1236000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1246000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1256000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1266000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1276000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1286000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1296000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1306000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1316000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1326000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1336000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1346000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1356000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1366000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1376000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1386000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1396000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1406000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1416000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1426000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1436000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1446000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1456000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1466000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1476000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1486000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1496000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1506000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1516000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1526000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1536000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1546000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1556000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1566000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1576000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1586000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1596000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1606000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1616000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1626000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1636000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1646000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1656000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1666000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1676000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1686000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1696000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1706000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1716000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1726000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1736000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1746000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1756000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1766000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1776000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1786000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1796000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1806000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1816000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1826000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1836000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1846000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1856000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1866000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1876000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1886000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1896000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1906000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1916000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1926000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1936000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1946000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1956000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1966000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1976000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1986000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[1996000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[2006000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[2016000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[2026000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[2036000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[2046000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[2056000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[2066000 ns] [FAIL] digit = 4 | expected=WAIT_D2 | got=LOCKED | wrong first digit
[2076000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2086000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2096000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2106000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2116000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2126000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2136000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2146000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2156000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2166000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2176000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2186000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2196000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2206000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2216000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2226000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2236000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2246000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2256000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2266000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2276000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2286000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2296000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2306000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2316000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2326000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2336000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2346000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2356000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2366000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2376000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2386000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2396000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2406000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2416000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2426000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2436000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2446000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2456000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2466000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2476000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2486000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2496000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2506000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2516000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2526000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2536000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2546000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2556000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2566000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2576000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2586000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2596000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2606000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2616000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2626000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2636000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2646000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2656000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2666000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2676000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2686000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2696000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2706000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2716000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2726000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2736000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2746000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2756000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2766000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2776000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2786000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2796000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2806000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2816000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2826000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2836000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2846000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2856000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2866000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2876000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2886000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2896000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2906000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2916000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2926000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2936000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
[2946000 ns] [FAIL] digit = 5 | expected=WAIT_D2 | got=LOCKED | correct digit
